Field,RowId,Schedule Name,Asset Route Flag,Asset Number,Asset Description,Asset Group,Asset Group Description,Activity,Activity Department,SCE
JAS,205,PM-WPC-E&I ABB ACTIVE FILTER,N,WPC-PQFI,WPC-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y01-01,E&I,NON SCE
JAS,206,PM-WPC-E&I ABB ACTIVE FILTER,N,WPC-PQFI,WPC-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y04-01,E&I,NON SCE
JAS,207,PM-WPC-E&I ABB ACTIVE FILTER,N,WPC-PQFI,WPC-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y07-01,MTN-BKK,NON SCE
JAS,208,PM-WPA-E&I ABB ACTIVE FILTER,N,WPA-PQFI,WPA-ABB ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-M06-01,E&I,NON SCE
JAS,209,PM-WPA-E&I ABB ACTIVE FILTER,N,WPA-PQFI,WPA-ABB ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y01-01,E&I,NON SCE
JAS,210,PM-WPA-E&I ABB ACTIVE FILTER,N,WPA-PQFI,WPA-ABB ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y04-01,E&I,NON SCE
JAS,211,PM-WPA-E&I ABB ACTIVE FILTER,N,WPA-PQFI,WPA-ABB ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y07-01,MTN-BKK,NON SCE
JAS,212,PM-WPB-E&I ABB ACTIVE FILTER,N,WPB-PQFI,WPB-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-M06-01,E&I,NON SCE
JAS,213,PM-WPB-E&I ABB ACTIVE FILTER,N,WPB-PQFI,WPB-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y01-01,E&I,NON SCE
JAS,214,PM-WPB-E&I ABB ACTIVE FILTER,N,WPB-PQFI,WPB-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y04-01,E&I,NON SCE
JAS,215,PM-WPB-E&I ABB ACTIVE FILTER,N,WPB-PQFI,WPB-ACTIVE FILTER,EEHF-ABB-PQFI,ABB ACTIVE FILTER,EEHF-Y07-01,MTN-BKK,NON SCE
